Date,Open Price,High Price,Low Price,Close Price,WAP
1-January-2019,66940.75,67198.9,66525.85,66785.8,66770.86957
31-December-2018,67490,67490,66897.05,67088.25,67051.08374
28-December-2018,67350,67448.35,66700,66976,67143.38418
27-December-2018,67899,67899,66700,66889.1,67162.51709
26-December-2018,66489.25,67428.15,65269,66980.75,66741.89538
24-December-2018,67100,67350,65920,66104.85,66463
21-December-2018,69269,69597.2,66750,66966.2,67666.34363
20-December-2018,69199,69883.55,68728.5,69177.55,69390.69951
19-December-2018,67968,69458,67625,69242.55,68027.95741
18-December-2018,66686.35,67972.05,66212.3,67518.65,66850.42857
17-December-2018,66400.05,67183.95,66400.05,66686.35,66768.81041
14-December-2018,67167,67428.45,66066,66350.35,66504.83162
13-December-2018,68359,68884.65,67000,67206.7,67650.40793
12-December-2018,66399,68255,66280,67906.25,67372.20092
11-December-2018,64000,66200,63693.45,65942.05,65166.10512
10-December-2018,64555,64791.15,64189,64313.05,64504.74269
7-December-2018,65143.25,65729.45,64900.05,65460.15,65248.25623
6-December-2018,65100,65257.75,64508.45,64762.8,64873.46099
5-December-2018,66499,66499,65020,65188.2,65563.10658
4-December-2018,66775,66945.1,65800,66055.45,66413.92308
3-December-2018,69001,69001,66500,66643.85,67095.96023
30-November-2018,68250.15,68693.3,67100.1,67353.05,67722.1478
29-November-2018,69111,69222.35,67900,68140.8,68464.83642
28-November-2018,68712.8,69311.9,68443,68855.6,68961.12605
27-November-2018,67900,68708.95,67450,68597.25,68155.65846
26-November-2018,68100,68611.65,67589.65,68013.4,68304.37875
22-November-2018,67500,68066.9,67346.75,67542.85,67726.49175
21-November-2018,66200,67498,66172.65,67309.1,66861.53443
20-November-2018,65666.35,66299,65344.65,65804.2,66009.03311
19-November-2018,65888,66247.9,65483.85,66111.5,65971.525
16-November-2018,66084.1,66776.95,65600,65908,65943.11945
15-November-2018,65500,66250,65288,65609.15,65828.81176
14-November-2018,66112.45,66698.6,65100,65422.95,65963.66801
13-November-2018,65152,66123.5,64784.3,65825.75,65455.35447
12-November-2018,66399.9,66818,64999.95,65093.2,65683.90993
9-November-2018,65222,66420,64571.6,66313.9,65584.4344
