Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.)
31-Dec-18,83.6,86.2,83.6,84.55,85.5060241,249,4,21291
28-Dec-18,85.25,87.8,84.65,84.8,86.91259327,43555,26,3785478
27-Dec-18,82.05,82.05,82.05,82.05,82.05,100,1,8205
21-Dec-18,85,85,84,84,84.53069153,1287,20,108791
20-Dec-18,84.95,85.9,84,85,85.21272727,550,4,46867
19-Dec-18,85.55,86.1,85.5,86.1,85.65,600,7,51390
18-Dec-18,96.6,96.6,85,85.85,85.89539749,717,17,61587
17-Dec-18,91,91,87,87.2,88.08273749,979,27,86233
14-Dec-18,89.5,89.55,85.05,86.05,87.04849498,598,22,52055
13-Dec-18,87.45,89.85,87.45,87.45,87.90333333,600,14,52742
12-Dec-18,84.55,84.55,84.55,84.55,84.55,180,1,15219
11-Dec-18,82.05,86.15,82.05,85.5,85.49661485,36926,15,3157048
10-Dec-18,85.7,85.7,83.5,84,84.00512619,40771,16,3424973
7-Dec-18,84,86.45,84,85,85.01459246,40843,12,3472251
6-Dec-18,86.05,86.05,83.75,84.1,84.54907975,652,6,55126
5-Dec-18,85,85.15,83.8,84.4,84.73611111,720,29,61010
4-Dec-18,83.6,86.5,83.6,86.4,85.96932515,326,5,28026
30-Nov-18,85.4,85.4,85.4,85.4,85.4,25,1,2135
29-Nov-18,86.95,86.95,84.1,85.55,84.90772693,1333,18,113182
28-Nov-18,85,87.5,83.05,83.8,84.7926192,3062,23,259635
27-Nov-18,87.8,87.8,85,85,85.18854673,1851,20,157684
26-Nov-18,85.25,89.8,83.7,85,85.02113088,35919,27,3053874
22-Nov-18,84.35,86.55,84.25,86.3,85.16235294,850,11,72388
21-Nov-18,87.45,88,87.45,87.5,87.50086441,40490,7,3542910
20-Nov-18,89,89,84.05,86.35,85.15291751,497,12,42321
19-Nov-18,90,90,85,86.7,85.94239424,1111,36,95482
16-Nov-18,82,92.5,79,88.45,87.72162207,12034,158,1055642
15-Nov-18,81,81.8,78.1,80,79.99856687,52333,12,4186565
14-Nov-18,82.3,82.3,79.15,79.6,80.20816327,1225,17,98255
13-Nov-18,87.25,87.25,82.05,82.15,82.3027027,185,4,15226
12-Nov-18,84,87.25,82.25,83,84.04347826,897,26,75387
7-Nov-18,87.5,90.8,87.4,87.95,87.96396396,111,8,9764
6-Nov-18,83.05,83.35,83,83,83.053125,640,4,53154
5-Nov-18,79.2,87.65,77,82.2,79.18740306,64476,66,5105687
2-Nov-18,80,82.9,78.9,79.2,79.20757363,1426,16,112950
1-Nov-18,76,86.9,76,82,77.4625,160,4,12394
31-Oct-18,71.25,82.1,71.25,79.9,79.94897872,141196,20,11288476
30-Oct-18,83,85,75.4,77.85,79.54425363,757,27,60215
29-Oct-18,72,73,71.55,72.9,72.21714286,350,6,25276
26-Oct-18,70.6,74.65,70.55,71.2,72.5750469,2132,11,154730
25-Oct-18,74,74,72,72,72.66666667,3,3,218
24-Oct-18,71.05,71.05,71.05,71.05,71.04827586,290,1,20604
23-Oct-18,72.65,73.5,71,71.4,71.70670996,924,19,66257
22-Oct-18,66,73,66,73,72.9,1010,9,73629
