Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-April-2019,57800.00,57804.15,56415.00,56634.35,57213.780423280423280423,378,244,21626809.00,201,53.17,1389.15,-1165.65
18-April-2019,58555.00,58600.00,57513.45,57742.45,57825.167002012072434607,497,280,28739108.00,186,37.42,1086.55,-812.55
16-April-2019,58200.00,58500.00,58008.00,58142.60,58285.009900990099009900,303,162,17660358.00,169,55.78,492.00,-57.40
15-April-2019,58800.00,58904.65,57669.00,58039.75,58387.442396313364055299,217,172,12670075.00,78,35.94,1235.65,-760.25
12-April-2019,57457.45,58599.00,57457.45,58536.10,58209.327777777777777777,180,136,10477679.00,64,35.56,1141.55,1078.65
11-April-2019,57899.95,58070.75,57305.00,57455.65,57511.824712643678160919,348,163,20014115.00,204,58.62,765.75,-444.30
10-April-2019,57900.00,58450.00,57400.05,57668.85,58055.054347826086956521,368,253,21364260.00,140,38.04,1049.95,-231.15
9-April-2019,59074.05,59074.05,57590.00,57702.80,57910.628650904033379694,719,421,41637742.00,309,42.98,1484.05,-1371.25
8-April-2019,60499.90,60499.90,58650.00,59007.15,59524.659279778393351800,361,230,21488402.00,123,34.07,1849.90,-1492.75
5-April-2019,60398.95,60398.95,59990.85,60245.55,60208.558823529411764705,102,69,6141273.00,38,37.25,408.10,-153.40
4-April-2019,60021.15,60500.00,59599.95,59815.70,60100.595833333333333333,240,166,14424143.00,56,23.33,900.05,-205.45
3-April-2019,60500.00,60700.00,59573.80,59993.90,60344.759615384615384615,416,274,25103420.00,147,35.34,1126.20,-506.10
2-April-2019,60512.20,61500.00,60107.80,60234.70,60621.251572327044025157,795,470,48193895.00,276,34.72,1392.20,-277.50
1-April-2019,58077.05,60600.00,57990.00,60006.50,59546.707901037509976057,1253,831,74612025.00,299,23.86,2610.00,1929.45
29-March-2019,56666.00,58250.00,56115.50,58056.30,57627.391364902506963788,718,441,41376467.00,289,40.25,2134.50,1390.30
28-March-2019,56374.45,56837.25,56000.00,56183.30,56442.947019867549668874,151,111,8522885.00,65,43.05,837.25,-191.15
27-March-2019,56300.00,56700.00,56223.95,56369.80,56458.298672566371681415,452,231,25519151.00,227,50.22,476.05,69.80
26-March-2019,56330.35,56368.75,55945.10,56233.80,56186.986206896551724137,290,176,16294226.00,178,61.38,423.65,-96.55
25-March-2019,56019.30,56287.95,55837.20,56031.55,56082.373983739837398373,246,150,13796264.00,81,32.93,450.75,12.25
22-March-2019,56807.80,57280.00,56111.05,56507.75,56810.293650793650793650,252,173,14316194.00,108,42.86,1168.95,-300.05
20-March-2019,57500.00,57500.00,56750.05,56899.95,57016.211678832116788321,274,189,15622442.00,109,39.78,749.95,-600.05
19-March-2019,57500.80,57535.00,57100.00,57406.20,57355.760330578512396694,242,149,13880094.00,112,46.28,435.00,-94.60
18-March-2019,57825.35,57825.35,57239.25,57406.50,57436.155015197568389057,329,170,18896495.00,163,49.54,586.10,-418.85
15-March-2019,57379.90,57920.50,56860.50,57480.10,57423.419282511210762331,446,290,25610845.00,171,38.34,1060.00,100.20
14-March-2019,57800.00,57800.00,57098.60,57205.35,57316.658914728682170542,129,94,7393849.00,45,34.88,701.40,-594.65
13-March-2019,57999.95,58000.00,57239.20,57402.70,57504.850942831487578569,3341,213,192123707.00,3123,93.48,760.80,-597.25
12-March-2019,58100.00,58223.95,56900.00,57210.55,57433.381736526946107784,668,397,38365499.00,205,30.69,1323.95,-889.45
