Date,Open Price,High Price,Low Price,Close Price,WAP
14-March-2019,67.9,68.7,66.65,67.35,67.36946050778236
13-March-2019,69.85,70.15,67.4,67.9,68.53057678615609
12-March-2019,70.5,71.35,69.6,69.85,70.5052383490226
11-March-2019,67.1,70.6,67.1,70.05,69.31545927510193
8-March-2019,68.1,68.1,66.55,67.1,67.10630798178794
7-March-2019,69.9,69.9,67.85,68.15,68.35395511081357
6-March-2019,67.4,70.1,67.3,68.9,69.11578638497653
5-March-2019,67.55,68.0,66.5,67.4,67.31453457962547
1-March-2019,64.95,66.5,64.7,66.2,65.96937997271236
28-February-2019,64.85,65.0,64.15,64.55,64.57425199803802
27-February-2019,64.9,65.95,64.4,64.7,64.98236586741339
26-February-2019,63.8,65.55,62.2,64.55,64.05118126206817
25-February-2019,64.0,64.65,63.15,64.3,64.13847675862603
22-February-2019,62.85,64.1,62.45,63.6,63.5111851047424
21-February-2019,62.75,63.0,62.35,62.85,62.666361634849736
20-February-2019,62.25,63.1,62.0,62.65,62.553268103768865
19-February-2019,61.1,62.75,61.0,62.05,62.13079185160122
18-February-2019,60.75,61.6,60.75,61.1,61.12380630879192
15-February-2019,61.2,61.95,60.7,60.95,61.0882475747749
14-February-2019,60.05,62.75,60.05,62.2,61.66200384359524
13-February-2019,61.7,62.05,60.55,60.85,61.182964263748616
12-February-2019,62.2,62.55,61.25,61.6,61.9737624902445
11-February-2019,62.0,63.1,60.9,62.6,62.18579452685008
8-February-2019,62.3,63.15,61.6,61.9,62.33858213086096
7-February-2019,61.15,62.35,60.7,62.1,61.669396282599294
6-February-2019,59.3,60.95,57.6,60.6,59.34180472732068
5-February-2019,65.6,65.6,56.25,58.9,60.06031128621353
4-February-2019,64.85,65.25,63.1,64.85,64.32967945877782
1-February-2019,64.8,65.65,63.7,64.3,64.75239720441171
31-January-2019,64.5,64.95,63.7,64.7,64.28319215986919
30-January-2019,65.25,65.25,63.75,63.95,64.2807555019246
29-January-2019,63.5,65.25,63.0,64.5,64.52212732786532
28-January-2019,66.5,66.75,63.6,63.9,64.44032776816009
25-January-2019,69.0,69.45,66.25,66.5,67.83818900915385
24-January-2019,69.2,70.05,68.5,68.9,69.26485504632322
23-January-2019,71.3,71.6,69.05,69.3,70.46735438207114
22-January-2019,71.45,71.45,69.95,71.0,70.73083604397655
21-January-2019,71.3,72.1,70.5,70.75,71.41410490317008
18-January-2019,70.35,71.1,69.8,70.7,70.56955992045714
17-January-2019,68.9,70.9,68.1,70.1,69.42806660917647
16-January-2019,68.9,69.6,68.1,68.35,68.74447340865657
15-January-2019,68.4,68.75,67.9,68.35,68.29643945963585
14-January-2019,69.15,69.4,67.65,67.75,67.96302199235608
11-January-2019,69.05,69.3,68.1,68.6,68.66327432826925
10-January-2019,70.75,70.75,68.7,68.85,69.43091066313211
9-January-2019,72.0,72.0,69.8,70.3,70.66028939388644
8-January-2019,71.8,72.1,71.1,71.35,71.45224186369309
7-January-2019,72.5,72.95,71.8,72.25,72.42528422849414
4-January-2019,70.8,71.85,70.1,71.35,70.88835785837651
3-January-2019,73.2,73.2,70.65,70.9,71.8300432052406
2-January-2019,73.7,74.75,72.4,72.85,73.51963621918999
1-January-2019,73.85,73.95,72.9,73.7,73.49433843636703
31-December-2018,72.1,73.55,72.1,73.0,73.02276292711346
28-December-2018,70.2,72.25,70.2,72.05,71.79632368292093
27-December-2018,72.2,72.4,69.5,69.9,71.13019467508454
26-December-2018,70.95,71.75,69.35,71.5,70.72284322507024
24-December-2018,69.8,72.85,69.5,71.15,71.37049008100574
21-December-2018,71.95,71.95,69.45,69.8,70.3832008493045
20-December-2018,70.1,70.95,69.4,70.5,70.3738257470781
19-December-2018,70.5,71.0,69.5,70.0,70.23822922114113
18-December-2018,67.9,70.15,67.3,69.85,69.49608561828008
17-December-2018,67.0,68.45,66.5,67.7,67.49961941156367
14-December-2018,66.7,67.85,65.9,66.5,66.94599654705884
13-December-2018,66.9,67.7,66.35,66.85,67.0721474324485
12-December-2018,65.45,66.95,64.6,66.35,65.76685013053093
11-December-2018,62.0,65.5,61.55,64.65,63.60901802852947
10-December-2018,65.85,65.85,62.75,63.05,63.81110900603881
7-December-2018,66.1,66.75,64.4,66.0,65.70876748898418
6-December-2018,66.4,66.6,65.1,65.75,65.68929471889567
5-December-2018,69.95,70.2,66.0,66.4,67.60808131183985
4-December-2018,70.8,71.35,69.7,70.45,70.53818447545497
3-December-2018,68.5,71.3,67.45,70.8,69.92083973696586
30-November-2018,68.4,70.2,66.35,68.8,68.01901341557493
29-November-2018,67.05,68.75,65.95,68.05,67.39155712622623
28-November-2018,67.0,67.25,66.2,66.7,66.6613174076856
27-November-2018,66.85,67.95,66.35,66.85,67.11097611117962
26-November-2018,66.6,67.1,65.7,66.85,66.59232364638201
22-November-2018,66.55,67.3,65.9,66.1,66.56017151891923
21-November-2018,67.8,67.8,66.1,66.6,66.64419156832648
20-November-2018,68.0,68.0,67.0,67.3,67.47476128031326
19-November-2018,66.9,68.15,66.8,67.7,67.59798548490487
16-November-2018,67.25,67.25,65.8,66.65,66.40112118185223
15-November-2018,66.2,67.7,65.25,66.8,66.57517509160984
14-November-2018,68.9,69.2,66.0,66.2,66.84585876598531
13-November-2018,69.0,69.4,67.9,68.7,68.67344761411319
12-November-2018,70.1,70.45,68.55,68.9,69.49801025297778
9-November-2018,69.8,70.3,69.25,69.9,69.8102821129746
7-November-2018,69.9,70.0,69.5,69.8,69.79880372018175
6-November-2018,70.25,71.05,69.05,69.3,69.7962943499347
5-November-2018,71.25,71.45,69.3,70.0,70.09972742133952
2-November-2018,70.9,73.9,70.9,73.05,72.73755881810212
1-November-2018,68.85,70.85,68.85,70.35,70.33217012689644
31-October-2018,69.55,69.55,67.7,68.85,68.45451060611869
30-October-2018,68.35,69.95,68.0,69.05,68.97123028375105
29-October-2018,68.45,68.45,66.6,68.0,67.63632226363285
26-October-2018,71.4,71.45,67.25,67.4,68.48864088107571
25-October-2018,74.95,76.5,69.5,70.35,72.38172408936163
24-October-2018,75.2,76.35,73.9,75.95,75.11552245482353
23-October-2018,74.6,76.0,73.1,74.05,74.60154302521114
